,training_loss,validation_loss
0,10.009693,10.012432
1,9.990311,9.9930525
2,9.970936,9.97368
3,9.951625,9.954373
4,9.932376,9.935129
5,9.9131975,9.915954
6,9.894118,9.896876
7,9.875088,9.87785
8,9.8565,9.859264
9,9.838348,9.841117
10,9.820239,9.823011
11,9.802161,9.804936
12,9.784386,9.787163
13,9.766553,9.769335
14,9.748672,9.751456
15,9.730559,9.733346
16,9.712265,9.715055
17,9.693793,9.696587
18,9.675755,9.67855
19,9.657701,9.660499
20,9.639553,9.642354
21,9.621104,9.623908
22,9.602356,9.605164
23,9.583305,9.586116
24,9.564214,9.567029
25,9.544905,9.547724
26,9.525653,9.528474
27,9.506197,9.509022
28,9.486876,9.4897
29,9.467224,9.470056
30,9.447133,9.449967
31,9.4266,9.429439
32,9.405874,9.408716
33,9.385155,9.388001
34,9.363876,9.366726
35,9.342224,9.345077
36,9.320565,9.3234215
37,9.299125,9.301986
38,9.277569,9.280433
39,9.255652,9.258518
40,9.2332735,9.236145
41,9.210309,9.213184
42,9.188343,9.191221
43,9.166244,9.1691265
44,9.143693,9.146581
45,9.12052,9.12341
46,9.09672,9.099614
47,9.073687,9.076587
48,9.050107,9.053011
49,9.025857,9.028767
50,9.000987,9.003901
51,8.97548,8.978399
52,8.94915,8.952073
53,8.922148,8.925076
54,8.894548,8.89748
55,8.866227,8.869164
56,8.837049,8.83999
57,8.807101,8.810048
58,8.776386,8.77934
59,8.744684,8.747643
60,8.712011,8.714977
61,8.678366,8.681336
62,8.643534,8.64651
63,8.607676,8.61066
64,8.571262,8.574254
65,8.533545,8.536543
66,8.494213,8.497219
67,8.453298,8.456313
68,8.410836,8.413858
69,8.36688,8.36991
70,8.321274,8.324312
71,8.273962,8.277009
72,8.224941,8.227998
73,8.174265,8.177333
74,8.12285,8.125928
75,8.069791,8.07288
76,8.014866,8.017964
77,7.9581423,7.961251
78,7.899404,7.9025254
79,7.83866,7.841792
80,7.7755055,7.7786508
81,7.710358,7.7135167
82,7.6427197,7.645891
83,7.5727367,7.5759225
84,7.500361,7.5035625
85,7.425519,7.4287353
86,7.348179,7.3514113
87,7.268311,7.2715592
88,7.185943,7.189209
89,7.100886,7.10417
90,7.0132036,7.0165057
91,6.9228663,6.9261894
92,6.82981,6.833152
93,6.7340074,6.7373705
94,6.6354675,6.6388526
95,6.534099,6.5375056
96,6.4299555,6.4333863
97,6.3230195,6.326474
98,6.213325,6.216804
99,6.1008296,6.104335
100,5.9855947,5.9891276
